Filename,State,Governor,Gender,Party,Type of Speech,New Gov?,2020 Contender?,Region,Trifecta Status,Trifecta,Best Transcript URL,Selector,Note,Lesser Transcript URL,New Best Transcript URL
Louisiana_SOTS.txt,Louisiana,John Bel Edwards,Male,D,State of the state,No,No,South,Divided government,Divided,http://gov.louisiana.gov/index.cfm/newsroom/detail/1871,,,,http://gov.louisiana.gov/index.cfm/newsroom/detail/1871
Maine_Inaugural.txt,Maine,Janet Mills,Female,D,Inaugural,Yes,No,Northeast,D trifecta,Trifecta,https://bangordailynews.com/2019/01/02/politics/read-janet-mills-full-inaugural-address/,,,,
Maine_SOTS.txt,Maine,Janet Mills,Female,D,State of the state,Yes,No,Northeast,D trifecta,Trifecta,https://www.maine.gov/governor/mills/news/governor-janet-mills-state-budget-address-2019-02-11,,,,https://www.maine.gov/governor/mills/news/governor-janet-mills-state-budget-address-2019-02-11
Maryland_Inaugural.txt,Maryland,Larry Hogan,Male,R,Inaugural,No,Yes,South,Divided government,Divided,https://governor.maryland.gov/2019/01/16/2019-inaugural-address/,,,https://www.baltimoresun.com/news/maryland/politics/bs-md-hogan-inaugural-address-speech-20190116-story.html,
Maryland_SOTS.txt,Maryland,Larry Hogan,Male,R,State of the state,No,Yes,South,Divided government,Divided,https://governor.maryland.gov/2019/01/30/2019-state-of-the-state-address/,,,https://www.baltimoresun.com/news/maryland/politics/bs-md-hogan-text-20190130-story.html,https://governor.maryland.gov/2019/01/30/2019-state-of-the-state-address/
Massachusetts_Both.txt,Massachusetts,Charlie Baker,Male,R,Both,No,No,Northeast,Divided government,Divided,https://www.mass.gov/news/governor-charlie-baker-delivers-inaugural-address-for-second-term,.ma__rich-text span:not(.ma__rich-text__flame),stray quotation marks in the text,https://www.wbur.org/news/2019/01/03/transcript-charlie-baker-second-inaugural,https://www.mass.gov/news/governor-charlie-baker-delivers-inaugural-address-for-second-term
Michigan_Inaugural.txt,Michigan,Gretchen Whitmer,Female,D,Inaugural,Yes,No,Midwest,Divided government,Divided,http://www.wkar.org/post/listen-read-michigan-gov-gretchen-whitmers-inauguration-speech#stream/0,.post-body .field-items p,,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90640-486457--,00.html",
Michigan_SOTS.txt,Michigan,Gretchen Whitmer,Female,D,State of the state,Yes,No,Midwest,Divided government,Divided,https://www.michigan.gov/documents/whitmer/20190212-Speech-Whitmer-SOTS19_646125_7.pdf,,,https://www.freep.com/story/news/politics/2019/02/13/gretchen-whitmer-michigan-state-of-state-address-2019/2850811002/,https://www.michigan.gov/documents/whitmer/20190212-Speech-Whitmer-SOTS19_646125_7.pdf
Minnesota_Inaugural.txt,Minnesota,Tim Walz,Male,D,Inaugural,Yes,No,Midwest,Divided government,Divided,https://mn.gov/governor/news/#/detail/appId/1/id/364496,,,http://www.startribune.com/inaugural-address-by-minnesota-gov-tim-walz/504004722/,
Minnesota_SOTS.txt,Minnesota,Tim Walz,Male,D,State of the state,Yes,No,Midwest,Divided government,Divided,https://mn.gov/governor/news/#/detail/appId/1/id/378589,,,,https://mn.gov/governor/news/#/detail/appId/1/id/378589
Mississippi_SOTS.txt,Mississippi,Phil Bryant,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://www.clarionledger.com/story/news/politics/2019/01/15/watch-live-gov-phil-bryants-state-state-address-text-speech-ms-leg/2581705002/,,,,https://www.clarionledger.com/story/news/politics/2019/01/15/watch-live-gov-phil-bryants-state-state-address-text-speech-ms-leg/2581705002/
Missouri_SOTS.txt,Missouri,Mike Parson,Male,R,State of the state,Yes,No,Midwest,R trifecta,Trifecta,https://www.mo.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Text.pdf,,,"http://sbj.net/stories/transcript-parson-delivers-first-state-of-the-state,62144",https://www.mo.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Text.pdf
Montana_SOTS.txt,Montana,Steve Bullock,Male,D,State of the state,No,Yes,West,Divided government,Divided,http://governor.mt.gov/Pressroom/governor-steve-bullocks-2019-state-of-the-state-address,,,,http://governor.mt.gov/Pressroom/governor-steve-bullocks-2019-state-of-the-state-address
Nebraska_Inaugural.txt,Nebraska,Pete Ricketts,Male,R,Inaugural,No,No,Midwest,R trifecta,Trifecta,https://governor.nebraska.gov/press/gov-ricketts-second-inaugural-address,,,,
Nebraska_SOTS.txt,Nebraska,Pete Ricketts,Male,R,State of the state,No,No,Midwest,R trifecta,Trifecta,https://governor.nebraska.gov/press/gov-ricketts-state-state-address,,,,https://governor.nebraska.gov/press/gov-ricketts-state-state-address
Nevada_Inaugural.txt,Nevada,Steve Sisolak,Male,D,Inaugural,Yes,No,West,D trifecta,Trifecta,http://gov.nv.gov/News/Press/2019/Steve_Sisolak_Sworn_in_as_Governor_of_Nevada/,,,,
Nevada_SOTS.txt,Nevada,Steve Sisolak,Male,D,State of the state,Yes,No,West,D trifecta,Trifecta,http://gov.nv.gov/uploadedFiles/govnew.nv.gov/Content/News/Press/2019/Sisolak_SOTS.pdf,,,,http://gov.nv.gov/uploadedFiles/govnew.nv.gov/Content/News/Press/2019/Sisolak_SOTS.pdf
